SETTLEMENTDATE,TOTALDEMAND,forcastedDemand,testDemand
2018-10-26 21:30:00,,,1288.06
2018-10-26 22:00:00,,,1257.03
2018-10-26 22:30:00,,,1233.82
2018-10-26 23:00:00,,,1203.73
2018-10-26 23:30:00,,,1214.39
2018-10-27 00:00:00,,,1345.87
2018-10-27 00:30:00,,,1273.14
2018-10-27 01:00:00,,,1241.23
2018-10-27 01:30:00,,,1196.24
2018-10-27 02:00:00,,,1182.69
2018-10-27 02:30:00,,,1146.55
2018-10-27 03:00:00,,,1113.56
2018-10-27 03:30:00,,,1081.52
2018-10-27 04:00:00,,,1068.85
2018-10-27 04:30:00,,,1097.5
2018-10-27 05:00:00,,,1132.15
2018-10-27 05:30:00,,,1151.11
2018-10-27 06:00:00,,,1201.43
2018-10-27 06:30:00,,,1281.07
2018-10-27 07:00:00,,,1305.27
2018-10-27 07:30:00,,,1269.35
2018-10-27 08:00:00,,,1182.81
2018-10-27 08:30:00,,,1104.8
2018-10-27 09:00:00,,,1022.2
2018-10-27 09:30:00,,,998.07
2018-10-27 10:00:00,,,955.89
2018-10-27 10:30:00,,,936.0
2018-10-27 11:00:00,,,920.1
2018-10-27 11:30:00,,,905.86
2018-10-27 12:00:00,,,921.58
2018-10-27 12:30:00,,,920.76
2018-10-27 13:00:00,,,935.52
2018-10-27 13:30:00,,,930.91
2018-10-27 14:00:00,,,934.94
2018-10-27 14:30:00,,,939.9
2018-10-27 15:00:00,,,971.11
2018-10-27 15:30:00,,,1000.87
2018-10-27 16:00:00,,,1054.53
2018-10-27 16:30:00,,,1098.93
2018-10-27 17:00:00,,,1150.69
2018-10-27 17:30:00,,,1225.63
2018-10-27 18:00:00,,,1285.11
2018-10-27 18:30:00,,,1337.29
2018-10-27 19:00:00,,,1376.91
2018-10-27 19:30:00,,,1394.62
2018-10-27 20:00:00,,,1405.85
2018-10-27 20:30:00,,,1357.13
2018-10-27 21:00:00,,,1320.94
2018-10-27 21:30:00,,,1300.1
2018-10-27 22:00:00,,,1269.95
2018-10-27 22:30:00,,,1261.29
2018-10-27 23:00:00,,,1243.38
2018-10-27 23:30:00,,,1238.38
2018-10-28 00:00:00,,,1367.21
2018-10-28 00:30:00,,,1298.86
2018-10-28 01:00:00,,,1271.87
2018-10-28 01:30:00,,,1196.26
2018-10-28 02:00:00,,,1164.49
2018-10-28 02:30:00,,,1118.07
2018-10-28 03:00:00,,,1101.87
2018-10-28 03:30:00,,,1074.15
2018-10-28 04:00:00,,,1045.28
2018-10-28 04:30:00,,,1055.17
2018-10-28 05:00:00,,,1040.86
2018-10-28 05:30:00,,,1065.35
2018-10-28 06:00:00,,,1108.9
2018-10-28 06:30:00,,,1101.71
2018-10-28 07:00:00,,,1120.76
2018-10-28 07:30:00,,,1159.71
2018-10-28 08:00:00,,,1121.95
2018-10-28 08:30:00,,,1048.45
2018-10-28 09:00:00,,,1018.62
2018-10-28 09:30:00,,,1027.14
2018-10-28 10:00:00,,,950.14
2018-10-28 10:30:00,,,956.09
2018-10-28 11:00:00,,,907.99
2018-10-28 11:30:00,,,866.72
2018-10-28 12:00:00,,,842.52
2018-10-28 12:30:00,,,842.5
2018-10-28 13:00:00,,,863.92
2018-10-28 13:30:00,,,860.82
2018-10-28 14:00:00,,,871.66
2018-10-28 14:30:00,,,883.52
2018-10-28 15:00:00,,,917.15
2018-10-28 15:30:00,,,944.04
2018-10-28 16:00:00,,,1005.75
2018-10-28 16:30:00,,,1065.98
2018-10-28 17:00:00,,,1153.57
2018-10-28 17:30:00,,,1219.27
2018-10-28 18:00:00,,,1251.84
2018-10-28 18:30:00,,,1282.91
2018-10-28 19:00:00,,,1301.28
2018-10-28 19:30:00,,,1305.79
2018-10-28 20:00:00,,,1303.55
2018-10-28 20:30:00,,,1289.14
2018-10-28 21:00:00,,,1249.68
2018-10-28 21:30:00,,,1253.22
2018-10-28 22:00:00,,,1223.21
2018-10-28 22:30:00,,,1213.97
2018-10-28 23:00:00,,,1216.8
2018-10-28 23:30:00,,,1214.55
2018-10-29 00:00:00,,,1358.06
2018-10-29 00:30:00,,,1326.64
2018-10-29 01:00:00,,,1283.98
2018-10-29 01:30:00,,,1209.06
2018-10-29 02:00:00,,,1155.4
2018-10-29 02:30:00,,,1119.44
2018-10-29 03:00:00,,,1121.18
2018-10-29 03:30:00,,,1079.19
2018-10-29 04:00:00,,,1063.3
2018-10-29 04:30:00,,,1074.88
2018-10-29 05:00:00,,,1064.81
2018-10-29 05:30:00,,,1081.92
2018-10-29 06:00:00,,,1086.95
2018-10-29 06:30:00,,,1082.75
2018-10-29 07:00:00,,,1079.26
2018-10-29 07:30:00,,,1041.72
2018-10-29 08:00:00,,,1041.81
2018-10-29 08:30:00,,,1026.77
2018-10-29 09:00:00,,,996.2
2018-10-29 09:30:00,,,972.36
2018-10-29 10:00:00,,,925.35
2018-10-29 10:30:00,,,916.21
2018-10-29 11:00:00,,,920.18
2018-10-29 11:30:00,,,906.38
2018-10-29 12:00:00,,,885.77
2018-10-29 12:30:00,,,886.4
2018-10-29 13:00:00,,,894.71
2018-10-29 13:30:00,,,875.99
2018-10-29 14:00:00,,,857.91
2018-10-29 14:30:00,,,841.09
2018-10-29 15:00:00,,,867.22
2018-10-29 15:30:00,,,914.36
2018-10-29 16:00:00,,,963.92
2018-10-29 16:30:00,,,1010.67
2018-10-29 17:00:00,,,1066.1
2018-10-29 17:30:00,,,1142.02
2018-10-29 18:00:00,,,1224.79
2018-10-29 18:30:00,,,1277.68
2018-10-29 19:00:00,,,1281.17
2018-10-29 19:30:00,,,1295.11
2018-10-29 20:00:00,,,1306.08
2018-10-29 20:30:00,,,1264.55
2018-10-29 21:00:00,,,1247.83
2018-10-29 21:30:00,,,1226.9
2018-10-29 22:00:00,,,1186.35
2018-10-29 22:30:00,,,1140.58
2018-10-29 23:00:00,,,1152.71
2018-10-29 23:30:00,,,1177.23
2018-10-30 00:00:00,,,1316.19
2018-10-30 00:30:00,,,1291.38
2018-10-30 01:00:00,,,1269.87
2018-10-30 01:30:00,,,1223.43
2018-10-30 02:00:00,,,1192.13
2018-10-30 02:30:00,,,1160.48
2018-10-30 03:00:00,,,1158.26
2018-10-30 03:30:00,,,1139.44
2018-10-30 04:00:00,,,1130.38
2018-10-30 04:30:00,,,1137.27
2018-10-30 05:00:00,,,1176.54
2018-10-30 05:30:00,,,1202.15
2018-10-30 06:00:00,,,1260.78
2018-10-30 06:30:00,,,1302.38
2018-10-30 07:00:00,,,1361.01
2018-10-30 07:30:00,,,1339.55
